id,labels,popularity,name,username
6nxDQi0FeEwccEPJeNySoS,Release,,,
22wbnEMDvgVIAGdFeek6ET,Artist,89.0,,
3C0QJ1R0T3xX0BUbOZcdCw,Release,,,
2gqJGztyMZr9Ek8M5zqmBk,Release,,,
45dkTj5sMRSjrmBSBeiHym,Artist,92.0,,
6KaEpgeZQF6ZVVAmSoZUrb,Release,,,
0OUOx6rJXtL66AzTnP9KUE,Release,,,
5fhTetHew6Eph6HfQ9O5gJ,Release,,,
790FomKkXshlbRYZFtlgla,Artist,94.0,,
0yY0fT7zibMEffhBJD9Nab,Release,,,
1f2q2JQ3GFwIrWch2JLC0u,Release,,,
4kS7bSuU0Jm9LYMosFU2x5,Release,,,
5CS8E6JVACItYto4OOJoPW,Release,,,
4i5b4YWuMtneUSvQPONwzK,Release,,,
12nlJpvrOd7tTOaCxB1UeR,Release,,,
4VMYDCV2IEDYJArk749S6m,Artist,89.0,,
3rlJCPz7s7bTifG57wjFpt,Release,,,
4VRebE7OlgjE896hS92gjo,Release,,,
0CDLQ6cxLj0UydmFX394VL,Release,,,
0N091826fEGbqVB1NnKguC,Release,,,
3xtMlD79fXUjZ92e1c4TnX,Release,,,
1Urx9GFKTIyCQK7TLa8Tb2,Release,,,
1KvWjARMNg4QmqyLLb0zp1,Release,,,
6R0fIFcUqDgQMyYdRWZJje,Release,,,
5VH6n4EzceIp8cOfHcVz9S,Release,,,
2rNUIqPFIbq5bSH46jHUZy,Release,,,
2XGEyGU76kj55OdHWynX0S,Release,,,
5BvgP623rtvlc0HDcpzquz,Release,,,
2G24iquUtWrS3H36y5T1HO,Release,,,
1qAoFDC9NoiJ3zD5lst6pG,Release,,,
0EmeFodog0BfCgMzAIvKQp,Artist,89.0,,
7BmWnXvx1CD6vtxtBd0czc,Release,,,
20DPRLGTkmOvCv9k5wMoIS,Release,,,
0mjUmP8oe0KVzwOwHKIHXS,Release,,,
64KEffDW9EtZ1y2vBYgq8T,Artist,84.0,,
4KNN5lVMc1EREJFlbppJqH,Release,,,
6yXPyhVxt3PHBwkinPFn6I,Release,,,
662MMKEWOxGXbPXQIcgBlW,Release,,,
0xi4cOWPUHjctyYU8ypCOB,Release,,,
04hy4jb1GDD00otiwzsFUB,Release,,,
6opKASPALOkPwCfHvqIS9H,Release,,,
7Ln80lUS6He07XvHI8qqHH,Artist,88.0,,
155,Genre,,indie,
156,Genre,,garage rock,
2GROf0WKoP5Er2M9RXVNNs,Release,,,
7Heaa0B4KOxdWhSICTR2wE,Release,,,
7v6FNgLDS8KmaWA1amUtqe,Release,,,
78bpIziExqiI9qztvNFlQu,Release,,,
2ym2jcqckXqWeTDoxz3Kst,Release,,,
5IEoiwkThhRmSMBANhpxl2,Release,,,
1XkGORuUX2QGOEIL4EbJKm,Release,,,
50Zz8CkIhATKUlQMbHO3k1,Release,,,
1RyvyyTE3xzB2ZywiAwp0i,Artist,92.0,,
5IcsHifVLGG0emBPlMZacj,Release,,,
6ViO9Wx6dWzeUq6DmGTaHl,Release,,,
6F87lH0I09qlrzvCCKc7lz,Release,,,
5EdGgMlsJ7bv8IUqkaaPZN,Release,,,
6bUxh58rYTL67FS8dyTKMN,Release,,,
4WgEUAbA3elrKKvTh1jjM3,Release,,,
4bNPOFOzxGhF5jhfIK6lit,Release,,,
65hRa80KDworqyE8242rLN,Release,,,
3LpIwZdzFwc10psLingT8x,Release,,,
6Ew52HWkgfbth9ihRAq2Xd,Release,,,
7K6OykPbezfgKgBufihn6X,Release,,,
17FBoXK1NU2rvJBbzdzw0r,Release,,,
3jJKDKdlwRS584zUlHV2Ly,Release,,,
76G83osdQ4whezYjnYwwq2,Release,,,
0fUy6IdLHDpGNwavIlhEsl,Release,,,
3dP0TFEEzTXJQKtrpsKFUj,Release,,,
7zCODUHkfuRxsUjtuzNqbd,Release,,,
4Mqt4zRLIwFtZyzh7tAUQE,Release,,,
6LkUDxtz8cJG3n0RbZNkDh,Release,,,
02Mp4Q83TVhpe8VeCpMZjZ,Release,,,
6Q3VZtyPCZFMO4cPF4828q,Release,,,
5rbqupVSYwvEmXBUnFtUf7,Release,,,
1MJ0UQh7nta4JGuFYW4gCg,Release,,,
1yNIBzlvPVBALSPkUMq1ma,Release,,,
56P7aZkTGJGsYGe0DH7mqA,Release,,,
0fTSzq9jAh4c36UVb4V7CB,Artist,89.0,,
1eCGY9WJpYgtaFh1Lk2KNo,Release,,,
4dpARuHxo51G3z768sgnrY,Artist,87.0,,
21jF5jlMtzo94wbxmJ18aa,Release,,,
3AvPX1B1HiFROvYjLb5Qwi,Release,,,
0Lg1uZvI312TPqxNWShFXL,Release,,,
59ULskOkBMij4zL8pS7mi0,Release,,,
5Pwc4xIPtQLFEnJriah9YJ,Artist,86.0,,
3rZyOsowQOtW3BMuO4vCmh,Release,,,
4yHDaLGrPSwUfJNVUIvFgg,Release,,,
